City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,11.57,84,98,3.13,NZ,2023-06-10 21:46:03
1,dudinka,69.4058,86.1778,6.04,52,70,2.25,RU,2023-06-10 21:46:03
2,kumylzhenskaya,49.8809,42.5898,21.1,73,100,6.9,RU,2023-06-10 21:46:03
3,arraial do cabo,-22.9661,-42.0278,21.92,83,0,2.57,BR,2023-06-10 21:46:03
4,adamstown,-25.066,-130.1015,20.2,59,100,6.49,PN,2023-06-10 21:46:03
5,manokwari,-0.8667,134.0833,26.03,80,71,1.07,ID,2023-06-10 21:46:04
6,nha trang,12.25,109.1833,27.0,73,100,2.36,VN,2023-06-10 21:41:55
7,aqadyr,48.2553,72.8483,13.8,46,0,3.68,KZ,2023-06-10 21:46:04
8,georgetown,5.4112,100.3354,27.97,78,40,3.09,MY,2023-06-10 21:41:22
9,funafuti,-8.5243,179.1942,31.0,84,75,5.14,TV,2023-06-10 21:46:04
10,whitehorse,60.7161,-135.0538,17.43,29,40,9.26,CA,2023-06-10 21:43:25
11,invercargill,-46.4,168.35,7.26,95,100,2.82,NZ,2023-06-10 21:41:54
12,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,36,20,7.0,RU,2023-06-10 21:46:04
13,sainte-anne-des-monts,49.124,-66.4924,13.93,72,46,1.03,CA,2023-06-10 21:46:04
14,ushuaia,-54.8,-68.3,4.81,87,75,13.89,AR,2023-06-10 21:41:21
15,hawaiian paradise park,19.5933,-154.9731,27.73,70,40,3.6,US,2023-06-10 21:46:05
16,nova sintra,14.8667,-24.7167,21.92,81,30,8.75,CV,2023-06-10 21:46:05
17,palu,-0.8917,119.8707,24.41,95,96,1.76,ID,2023-06-10 21:46:05
18,port mathurin,-19.6833,63.4167,24.16,78,64,10.2,MU,2023-06-10 21:46:05
19,piacabucu,-10.4056,-36.4344,24.27,84,4,3.09,BR,2023-06-10 21:46:05
20,stanley,54.868,-1.6985,13.74,86,0,1.54,GB,2023-06-10 21:46:05
21,dazhong,33.1997,120.4578,20.64,85,10,2.94,CN,2023-06-10 21:46:05
22,albany,42.6001,-73.9662,22.69,56,86,0.89,US,2023-06-10 21:46:02
23,island harbour,50.724,-1.2758,19.02,82,68,0.45,GB,2023-06-10 21:46:06
24,severo-yeniseyskiy,60.3725,93.0408,2.88,75,5,2.55,RU,2023-06-10 21:46:06
25,jinchang,38.4953,102.1739,23.14,20,100,4.28,CN,2023-06-10 21:46:06
26,blackmans bay,-43.0167,147.3167,9.74,86,98,2.99,AU,2023-06-10 21:46:06
27,juneau,58.3019,-134.4197,14.0,87,100,0.0,US,2023-06-10 21:42:01
28,tsiombe,-25.3,45.4833,18.38,95,0,1.53,MG,2023-06-10 21:46:06
29,caleta de carquin,-11.0925,-77.6267,21.93,75,14,5.12,PE,2023-06-10 21:46:06
30,kupang,-10.1667,123.5833,25.32,73,20,7.72,ID,2023-06-10 21:46:06
31,iqaluit,63.7506,-68.5145,2.85,75,75,8.75,CA,2023-06-10 21:46:06
32,yellowknife,62.456,-114.3525,19.29,59,100,3.09,CA,2023-06-10 21:44:57
33,prince rupert,54.3161,-130.3201,14.05,79,100,6.69,CA,2023-06-10 21:46:07
34,glace bay,46.1969,-59.957,15.48,81,100,1.03,CA,2023-06-10 21:46:07
35,margaret river,-33.95,115.0667,12.44,66,100,8.36,AU,2023-06-10 21:46:07
